Income_Distance,OverTime_Yes,Income_Rel_Role,Age,DailyRate,TotalWorkingYears,TotalSatisfaction,Loyalty,MonthlyRate,YearsAtCompany,HourlyRate,Stability,StockOptionLevel,DistanceFromHome,JobLevel,PercentSalaryHike,PromotionStagnation,NumCompaniesWorked,EnvironmentSatisfaction,JobSatisfaction,TrainingTimesLastYear,JobInvolvement,MaritalStatus_Single,RelationshipSatisfaction,YearsSinceLastPromotion,Attrition
2996.5,1.0,0.8655052573522083,41.0,1102.0,8.0,2.0,0.6666666666666666,19479.0,6.0,94.0,0.6666655555574075,0.0,1.0,2.0,11.0,0.0,8.0,2.0,4.0,0.0,3.0,1.0,1.0,0.0,1.0
570.0,0.0,1.583346722025385,49.0,279.0,10.0,3.0,0.9090909090909091,24907.0,10.0,61.0,0.6999993000007,1.0,8.0,2.0,23.0,0.09090909090909091,1.0,3.0,2.0,3.0,2.0,0.0,4.0,1.0,0.0
696.6666666666666,1.0,0.6456256776081878,37.0,1373.0,7.0,3.0,0.0,2396.0,0.0,92.0,0.0,0.0,2.0,1.0,15.0,0.0,6.0,4.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0
727.25,1.0,0.8978470983180984,33.0,1392.0,8.0,3.25,0.8888888888888888,23159.0,8.0,56.0,0.8749989062513672,0.0,3.0,1.0,11.0,0.3333333333333333,1.0,4.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0
1156.0,0.0,1.0713061482991364,27.0,591.0,6.0,2.5,0.2857142857142857,16632.0,2.0,40.0,0.9999950000249999,1.0,2.0,1.0,12.0,0.6666666666666666,8.5,1.0,2.0,3.0,3.0,0.0,4.0,2.0,0.0
1022.6666666666666,0.0,0.9477414253119234,32.0,1005.0,8.0,3.25,0.7777777777777778,11864.0,7.0,79.0,0.9999985714306123,0.0,2.0,1.0,13.0,0.375,0.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,0.0
667.5,1.0,0.8247945259396465,59.0,1324.0,12.0,1.75,0.07692307692307693,9964.0,1.0,81.0,0.0,3.0,3.0,1.0,20.0,0.0,4.0,3.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0
107.72,0.0,0.8318994975114113,30.0,1358.0,1.0,3.0,0.5,13335.0,1.0,67.0,0.0,1.0,24.0,1.0,22.0,0.0,1.0,4.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0
396.9166666666667,0.0,1.3058012185725967,38.0,216.0,10.0,3.0,0.8181818181818182,8787.0,9.0,44.0,0.7777769135812072,0.0,23.0,3.0,21.0,0.1,0.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0
187.03571428571428,0.0,0.6955989649872043,36.0,1299.0,17.0,2.5,0.3888888888888889,16577.0,7.0,94.0,0.9999985714306123,2.0,27.0,2.0,13.0,0.875,6.0,3.0,3.0,3.0,3.0,0.0,2.0,7.0,0.0
142.7058823529412,0.0,0.7494200449174466,35.0,809.0,6.0,2.25,0.7142857142857143,16479.0,5.0,84.0,0.7999984000032001,1.0,16.0,1.0,13.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,3.0,0.0,0.0
262.0625,1.0,1.29526720871346,29.0,153.0,10.0,3.5,0.8181818181818182,12682.0,9.0,49.0,0.5555549382722909,0.0,15.0,2.0,12.0,0.0,0.0,4.0,3.0,3.0,2.0,1.0,4.0,0.0,0.0
107.81481481481481,0.0,0.8984643874884787,31.0,670.0,5.0,2.5,0.8333333333333334,15170.0,5.0,31.0,0.39999920000160005,1.0,26.0,1.0,17.0,0.6666666666666666,1.0,1.0,3.0,1.0,3.0,0.0,4.0,4.0,0.0
133.05,0.0,0.8220143196724342,34.0,1346.0,3.0,3.0,0.5,8758.0,2.0,93.0,0.9999950000249999,1.0,19.0,1.0,11.0,0.3333333333333333,0.0,2.0,4.0,2.0,3.0,0.0,3.0,1.0,0.0
81.12,1.0,0.6264731455451698,28.0,103.0,6.0,2.75,0.5714285714285714,12947.0,4.0,50.0,0.49999875000312505,0.0,24.0,1.0,14.0,0.0,5.0,3.0,3.0,4.0,2.0,1.0,2.0,0.0,1.0
453.6363636363636,0.0,1.3680344490189498,29.0,1389.0,10.0,2.25,0.9090909090909091,10195.0,10.0,51.0,0.8999991000009,1.0,21.0,3.0,11.0,0.7272727272727273,1.0,2.0,1.0,1.0,4.0,0.0,3.0,8.0,0.0
549.6666666666666,1.0,1.0179098419570605,32.0,334.0,7.0,2.25,0.75,15053.0,6.0,80.0,0.33333277777870374,2.0,5.0,1.0,12.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,4.0,0.0,0.0
172.64705882352942,1.0,0.9066561549186751,22.0,1123.0,1.0,3.0,0.5,7324.0,1.0,96.0,0.0,2.0,16.0,1.0,13.0,0.0,1.0,4.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0
5142.333333333333,0.0,0.8978751303115323,53.0,1219.0,28.5,2.75,0.78125,22021.0,18.0,78.0,0.3199998720000512,0.0,2.0,4.0,16.0,0.11538461538461539,2.0,1.0,4.0,3.0,2.0,0.0,3.0,3.0,0.0
1314.6666666666667,1.0,1.2172942439898866,38.0,371.0,6.0,3.5,0.42857142857142855,4306.0,3.0,45.0,0.6666644444518518,0.0,2.0,1.0,11.0,0.25,5.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,0.0
334.25,0.0,0.5498182540095198,24.0,673.0,5.0,2.5,0.6666666666666666,8232.0,4.0,96.0,0.49999875000312505,1.0,11.0,2.0,18.0,0.2,0.0,1.0,3.0,5.0,4.0,0.0,4.0,1.0,0.0
